,depth,lift,coverage,homogeneity,pred,number_of_variable
0,1,1.0946,0.759,0.989,0,1
1,2,0.9906,0.153,0.895,0,2
2,3,0.5855,0.03,0.529,0,3
3,3,10.3627,0.058,1.0,1,3
