,depth,lift,coverage,homogeneity,pred,number_of_variable
0,1,1.0927,0.759,0.987,0,1
1,2,0.9842,0.153,0.889,0,2
2,3,0.6532,0.03,0.59,0,3
3,3,10.3359,0.058,1.0,1,3
