,depth,lift,coverage,homogeneity,pred,number_of_variable
0,1,1.0934,0.76,0.989,0,1
1,2,0.9928,0.15,0.898,0,2
2,3,0.6998,0.03,0.633,0,3
3,3,10.4712,0.061,1.0,1,3
