,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.0929,0.749,1
1,0,2,0.904,0.997,0.156,2
2,0,3,0.691,0.7621,0.034,3
3,1,3,1.0,10.7239,0.061,3
