,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.0965,0.747,1
1,0,2,0.89,0.9848,0.152,2
2,0,3,0.713,0.7889,0.039,3
3,1,3,1.0,10.3896,0.062,3
