,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.993,1.1006,0.728,1
1,0,2,0.886,0.982,0.163,2
2,0,3,0.729,0.808,0.047,3
3,1,3,1.0,10.2302,0.062,3
