,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.099,0.752,1
1,0,2,0.881,0.977,0.153,2
2,0,3,0.677,0.7508,0.032,3
3,1,3,1.0,10.1781,0.063,3
