,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.989,1.0968,0.755,1
1,0,2,0.884,0.9803,0.153,2
2,0,3,0.618,0.6853,0.031,3
3,1,3,1.0,10.1781,0.061,3
