,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.092,0.758,1
1,0,2,0.903,0.995,0.146,2
2,0,3,0.693,0.7636,0.035,3
3,1,3,1.0,10.8108,0.061,3
