,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.992,1.0937,0.753,1
1,0,2,0.893,0.9846,0.152,2
2,0,3,0.703,0.7751,0.034,3
3,1,3,1.0,10.7527,0.06,3
