,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.993,1.1024,0.726,1
1,0,2,0.897,0.9958,0.162,2
2,0,3,0.747,0.8293,0.046,3
3,1,3,1.0,10.0756,0.066,3
