,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.992,1.0925,0.731,1
1,0,2,0.897,0.9879,0.166,2
2,0,3,0.738,0.8128,0.046,3
3,1,3,1.0,10.8696,0.058,3
