,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.99,1.0997,0.738,1
1,0,2,0.887,0.9853,0.16,2
2,0,3,0.715,0.7942,0.04,3
3,1,3,1.0,10.0251,0.063,3
