,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.99,1.0957,0.741,1
1,0,2,0.894,0.9895,0.155,2
2,0,3,0.731,0.8091,0.043,3
3,1,3,1.0,10.3627,0.061,3
