,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.993,1.0985,0.732,1
1,0,2,0.9,0.9956,0.161,2
2,0,3,0.739,0.8175,0.044,3
3,1,3,1.0,10.4167,0.064,3
