,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.99,1.0957,0.751,1
1,0,2,0.891,0.9862,0.153,2
2,0,3,0.691,0.7648,0.034,3
3,1,3,1.0,10.3627,0.062,3
