,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.989,1.0922,0.758,1
1,0,2,0.891,0.984,0.151,2
2,0,3,0.705,0.7786,0.03,3
3,1,3,1.0,10.582,0.061,3
