,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.99,1.0997,0.748,1
1,0,2,0.883,0.9808,0.154,2
2,0,3,0.698,0.7753,0.035,3
3,1,3,1.0,10.0251,0.064,3
