,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.993,1.1,0.727,1
1,0,2,0.892,0.9881,0.165,2
2,0,3,0.743,0.823,0.045,3
3,1,3,1.0,10.2828,0.063,3
