,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.0887,0.757,1
1,0,2,0.907,0.9964,0.15,2
2,0,3,0.73,0.802,0.032,3
3,1,3,1.0,11.1421,0.061,3
