,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.99,1.0948,0.752,1
1,0,2,0.895,0.9898,0.152,2
2,0,3,0.715,0.7907,0.032,3
3,1,3,1.0,10.4439,0.063,3
