,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.0971,0.752,1
1,0,2,0.886,0.9809,0.152,2
2,0,3,0.709,0.7849,0.034,3
3,1,3,1.0,10.3359,0.063,3
