,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.99,1.096,0.749,1
1,0,2,0.896,0.992,0.154,2
2,0,3,0.691,0.765,0.034,3
3,1,3,1.0,10.3359,0.063,3
