,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.0959,0.754,1
1,0,2,0.89,0.9842,0.15,2
2,0,3,0.711,0.7863,0.034,3
3,1,3,1.0,10.4439,0.062,3
