,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.993,1.0951,0.732,1
1,0,2,0.898,0.9904,0.164,2
2,0,3,0.731,0.8062,0.044,3
3,1,3,1.0,10.7239,0.06,3
