,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.992,1.097,0.726,1
1,0,2,0.898,0.9931,0.165,2
2,0,3,0.747,0.8261,0.048,3
3,1,3,1.0,10.4439,0.062,3
