,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.0917,0.754,1
1,0,2,0.896,0.9871,0.152,2
2,0,3,0.712,0.7844,0.035,3
3,1,3,1.0,10.8401,0.06,3
