,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.993,1.0957,0.738,1
1,0,2,0.9,0.9931,0.161,2
2,0,3,0.718,0.7923,0.041,3
3,1,3,1.0,10.6667,0.061,3
