,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.991,1.1008,0.735,1
1,0,2,0.895,0.9942,0.157,2
2,0,3,0.715,0.7942,0.043,3
3,1,3,1.0,10.0251,0.065,3
