,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.993,1.0985,0.726,1
1,0,2,0.897,0.9923,0.168,2
2,0,3,0.749,0.8285,0.044,3
3,1,3,1.0,10.4167,0.062,3
