,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.992,1.0986,0.75,1
1,0,2,0.89,0.9856,0.15,2
2,0,3,0.712,0.7885,0.036,3
3,1,3,1.0,10.3093,0.064,3
