,pred,depth,homogeneity,lift,coverage,number_of_variable
0,0,1,0.99,1.097,0.752,1
1,0,2,0.892,0.9884,0.15,2
2,0,3,0.694,0.769,0.034,3
3,1,3,1.0,10.2564,0.064,3
